"Demographic component"	"Canton"	"Citizenship (category)"	"Sex"	"Age"	"2019"
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"86 years"	20007
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"87 years"	18334
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"88 years"	16370
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"89 years"	14982
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"90 years"	12647
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"91 years"	10763
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"92 years"	8765
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"93 years"	7179
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"94 years"	5677
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"95 years"	4466
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"96 years"	3200
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"97 years"	2212
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"98 years"	1618
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"99 years or older"	2326
"Population on 31 December"	"Switzerland"	"Citizenship (category) - Total"	"Woman"	"No indication"	0
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"Age - Total"	1539275
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"0 years"	16280
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"1 year"	16642
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"2 years"	16773
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"3 years"	16822
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"4 years"	16584
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"5 years"	16648
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"6 years"	15816
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"7 years"	15730
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"8 years"	15559
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"9 years"	15500
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"10 years"	15244
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"11 years"	14940
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"12 years"	14576
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"13 years"	14206
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"14 years"	13971
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"15 years"	13870
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"16 years"	13505
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"17 years"	13617
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"18 years"	13348
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"19 years"	14464
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"20 years"	14412
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"21 years"	14844
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"22 years"	15781
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"23 years"	16593
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"24 years"	17280
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"25 years"	18516
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"26 years"	20157
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"27 years"	22015
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"28 years"	23234
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"29 years"	24425
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"30 years"	24882
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"31 years"	25537
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"32 years"	25510
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"33 years"	25579
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"34 years"	25709
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"35 years"	25652
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"36 years"	25101
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"37 years"	25491
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"38 years"	25179
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"39 years"	25324
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"40 years"	24228
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"41 years"	23937
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"42 years"	23049
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"43 years"	22858
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"44 years"	22412
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"45 years"	22293
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"46 years"	21917
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"47 years"	21971
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"48 years"	22714
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"49 years"	22857
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"50 years"	23114
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"51 years"	23320
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"52 years"	23229
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"53 years"	23328
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"54 years"	23003
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"55 years"	22939
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"56 years"	22066
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"57 years"	20776
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"58 years"	19969
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"59 years"	18888
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"60 years"	17993
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"61 years"	17105
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"62 years"	16489
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"63 years"	15949
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"64 years"	15159
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"65 years"	14407
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"66 years"	13717
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"67 years"	13939
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"68 years"	13147
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"69 years"	13486
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"70 years"	12971
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"71 years"	13020
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"72 years"	12960
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"73 years"	12832
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"74 years"	12419
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"75 years"	12143
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"76 years"	11670
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"77 years"	10915
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"78 years"	10200
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"79 years"	9083
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"80 years"	8502
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"81 years"	8054
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"82 years"	7258
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"83 years"	7118
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"84 years"	6676
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"85 years"	6091
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"86 years"	5344
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"87 years"	4805
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"88 years"	4258
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"89 years"	3834
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"90 years"	3204
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"91 years"	2510
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"92 years"	2075
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"93 years"	1646
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"94 years"	1266
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"95 years"	963
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"96 years"	661
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"97 years"	438
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"98 years"	335
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"99 years or older"	449
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Sex - Total"	"No indication"	0
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"Age - Total"	766679
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"0 years"	8259
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"1 year"	8481
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"2 years"	8676
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"3 years"	8603
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"4 years"	8631
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"5 years"	8501
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"6 years"	8087
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"7 years"	8064
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"8 years"	8002
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"9 years"	7953
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"10 years"	7822
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"11 years"	7732
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"12 years"	7613
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"13 years"	7237
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"14 years"	7237
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"15 years"	7136
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"16 years"	6958
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"17 years"	7030
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"18 years"	6863
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"19 years"	7534
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"20 years"	7589
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"21 years"	7710
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"22 years"	8281
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"23 years"	8593
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"24 years"	8944
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"25 years"	9219
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"26 years"	10159
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"27 years"	11100
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"28 years"	11786
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"29 years"	12341
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"30 years"	12588
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"31 years"	12908
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"32 years"	12898
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"33 years"	12948
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"34 years"	13011
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"35 years"	12851
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"36 years"	12722
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"37 years"	12894
"Population on 31 December"	"Zurich"	"Citizenship (category) - Total"	"Man"	"38 years"	12805
